Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
HMGN2, HMG17	High-mobility group nucleosomal binding protein 2		
RPS6KA1, RSK1	Ribosomal protein S6 kinase, 90kD, 1		
ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2	AT rich interactive domain 1A, SWI-like		Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant
PIGV, HPMRS1	Phosphatidylinositol glycan, class V		Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessive
SFN	Stratifin		
GPATCH3	G-patch domain-containing protein 3		
NUDC	Nuclear distribution C, dynein complex regulator		
NR0B2, SHP	Nuclear receptor subfamily 0, group B, member 2		Obesity, mild, early-onset, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
KDF1, C1orf172, ECTD12	Keratinocyte differentiation factor 1	mutation identified in 1 ECTD12 family	?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant
TRNP1	TMF1-regulated nuclear protein 1		
SLC9A1, NHE1, APNH, LIKNS	Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)	mutation identified in 1 LIKNS family	?Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive
SYTL1, SLP1, JFC1	Synaptotagmin-like protein 1		
MAP3K6, MAPKKK6, ASK2	Mitogen-activated protein kinase kinase kinase 6		
FCN3, HAKA1	Ficolin 3		Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive
GPR3	G protein-coupled receptor-3		
WASF2, WAVE2, SCAR2	WAS protein family member 2	?pseudogene on Xp11.21	
AHDC1, MRD25	AT-hook DNA-binding motif-containing protein 1		Xia-Gibbs syndrome, 615829 (3), Autosomal dominant
C1DELp35, DEL1p35	Chromosome 1p35 deletion syndrome	SRO 1.03 Mb containing 23 genes	Chromosome 1p35 deletion syndrome, 617930 (4), Autosomal dominant
EBVS1	Epstein-Barr virus integration site		
FGR, SRC2	Oncogene FGR	same as SRC2	
G1P3, IFI616	Interferon, alpha-inducible protein (clone IFI-6-16)		
STX12, STX13	Syntaxin 12		
PPP1R8, NIPP1, ARD1	Protein phosphatase-1, regulatory subunit-8		
THEMIS2, C1orf38, ICB1	Thymocyte selection-associated protein family, member 2		
RPA2	Replication protein A2, 32kD		
SMPDL3B, ASML3B	Sphingolyelin phosphodiesterase, acid-like, 3B		
EYA3	EYA transcriptional coactivator and phosphatase 3		
PTAFR	Platelet-activating factor receptor		
ATP1F1, IF1	ATPase inhibitory factor 1		
SEST2, HI95	Sestrin 2		
MED18	Mediator complex subunit 18		
PHACTR4	Phosphatase and actin regulator 4		
CHC1, RCC1	Regulator of chromosome condensation		
RNU17D, U17HG	RNA, U17d small nucleolar		
RNU17A, RNE1	RNA, U17a small nucleolar	in IVS1 of CHC1	
RNU17B	RNA, U17b small nucleolar		
TAF12	TAF12 RNA polymerase II, TATA box-binding protein-associated factor, 20kD		
GMEB1	Glucocorticoid modulatory element-binding protein 1		
YTHDF2	YTH N6-methyladenosine RNA-binding protein 2	fused with AML1 in t(1;21)	
OPRD1	Opioid receptor, delta-1		
EPB41, EL1	Erythrocyte surface protein band 4.1		Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant
SRSF4, SFRS4, SRp75	Splicing factor, serine/arginine-rich, 4		
MECR, NRBF1, DYTOABG	Mitochondrial trans-2-enoyl-CoA reductase		Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive
PTPRU, GLEPP1, PTPU2	Protein tyrosine phosphatase, receptor type, U		
MATN1, CRTM, CMP	Matrilin 1, cartilage matrix protein		
LAPTM5	Lysosomal-associated multispanning membrane protein-5		
SDC3, SYND3, SDCN	Syndecan 3		{Obesity, association with}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
PUM1, KIAA0099, SCA47	Pumilio RNA binding family member 1		Spinocerebellar ataxia 47, 617931 (3), Autosomal dominant
NKAIN1	Na+/K+ transporting ATPase-interacting 1		
SNRNP40, SPF38, PRPF8BP	Small nuclear ribonucleoprotein 40kDa (U5)		
FABP3	Fatty acid-binding protein 3, muscle		
SERINC2	Serine incorporator 2		
TINAGL1, TINAGRP	Tubulointerstitial nephritis antigen-like protein 1		
HCRTR1, OX1R	Hypocretin receptor 1		
PEF1	Peflin		
COL16A1	Collagen XVI, alpha-1 polypeptide		
ADGRB2, BAI2	Adhesion G protein-coupled receptor B2		
PTP4A2, PTP4A, PRL2, HH13	Protein tyrosine phosphatase, type 4A, 2		
KHDRBS1, SAM68	KH domain-containing, RNA-binding, signal transduction-associated protein 1		
KPNA6	Karyopherin alpha-6		
CCDC28B, MGC1203	Coiled-coil domain-containing protein 28B		{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive
EIF3I, EIF3S2, TRIP1	Eukaryotic translation initiation factor 3, subunit I	pseudogene on 7q32	
LCK, IMD22	Lymphocyte-specific protein tyrosine kinase	LCK/TCRB fusion in leukemia; mutation identified in 1 IMD22 patient	?Immunodeficiency 22, 615758 (3), Autosomal recessive
HDAC1, RPD3L1	Histone deacetylase-1		
MARCKSL1, MLP, MRP	MARCKS-like protein 1		
TSSK3, STK22C, STK22D	Testis-specific serine/threonine kinase 3		
BSDC1	BSD domain-containing protein 1		
ZBTB8OS, ARCH	Zinc finger- and BTB domain-containing protein 8, opposite strand		
SYNC1	Syncoilin 1		
YARS1, YARS, CMTDIC, TYRRS, YTS, YRS	Tyrosyl-tRNA synthetase 1		Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominant
S100PBP, S100PBPR	S100P-binding protein		
FNDC5, FRCP2	Fibronectin type III domain-containing protein 5		
HPCA, DYT2	Hippocalcin, 23kD, Ca2+-binding protein		Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive
IBRDC3, NKLAM	IBR domain-containing protein 3		
AK2	Adenylate kinase-2, mitochondrial		Reticular dysgenesis, 267500 (3), Autosomal recessive
AZIN2, ODC1L, KIAA1945	Antizyme inhibitor 2		
TRIM62, DEAR1	Tripartite motif-containing protein 62		
ZSCAN20, ZNF31, KOX29	Zinc finger- and SCAN domain-containing protein 20		
CSMD2, KIAA1884	Cub and Sushi multiple domains 2		
HMGB4	High mobility group box 4		
GBD3	Gallbladder disease 3	new D2S255	Gallbladder disease 3, 609919 (2)
MACST	Macrostomia	max lod at D1S2797	Macrostomia, 613545 (2)
GJB5, CX31.1	Gap junction protein, beta-5		
GJB4, CX30.3, EKVP2	Gap junction protein, beta-4		Erythrokeratodermia variabilis et progressiva 2, 617524 (3), Autosomal dominant
GJB3, CX31, DFNA2B, EKVP1	Gap junction protein, beta-3	same YAC as GJA4	Deafness, autosomal dominant 2B, 612644 (3), Autosomal dominant; Deafness, autosomal dominant, with peripheral neuropathy (3); Deafness, autosomal recessive (3); Deafness, digenic, GJB2/GJB3, 220290 (3), Autosomal recessive; Erythrokeratodermia variabilis et progressiva 1, 133200 (3), Autosomal recessive, Autosomal dominant
GJA4, CX37	Gap junction protein, alpha-4, 37kD (connexin 37)		
ZMYM6, ZNF258	Zinc finger, MYM-type 6		
SFPQ, PSF	Splicing factor, proline- and glutamine-rich	fusion gene with TFE3 in RCC	
ZMYM4, ZNF262, KIAA0425	Zinc finger, MYM-type 4		
KIAA0319L, KIAA1837	KIAA0319-like		
NCDN, KIAA0607	Neurochondrin		
TFAP2E	Transcription factor AP2-epsilon		
PSMB2	Proteasome subunit, beta type, 2		
CLSPN	Claspin		
EIF2C4, AGO4, KIAA1567	Eukaryotic translation initiation factor 2C, 4 (argonaute 4)		
AGO1, EIF2C1, GERP95, EIF2C	Argonaute 1, RISC catalytic component		
EIF2C3, AGO3	Eukaryotic translation initiation factor 2C, subunit 3 (argonaute 3)		
TEKT2, TEKTB1	Tektin 2		
ADPRHL2, ARH3, CONDSIAS	ADP-ribosylhydrolase-like 2		Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3), Autosomal recessive
COL8A2, FECD1, PPCD2	Collagen VIII, alpha-2 polypeptide		Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominant; Corneal dystrophy, posterior polymorphous 2, 609140 (3), Autosomal dominant
TRAPPC3, BET3	Trafficking protein particle complex, subunit 3		
THRAP3, TRAP150	Thyroid hormone receptor-associated protein 3		
STK40, SHIK	Serine/threonine protein kinase 40		
LSM10	Lsm10, U7 small nuclear RNA-associated protein		
NOR1	Oxidored-nitro domain-containing protein 1		
MRPS15	Mitochondrial ribosomal protein S15		
CSF3R, GCSFR, SCN7	Colony-stimulating factor-3 receptor (granulocyte)		Neutropenia, severe congenital, 7, autosomal recessive, 617014 (3), Autosomal recessive
GRIK3, GLUR7	Glutamate receptor, ionotropic, kainate 3		
ZC3H12A, MCPIP, MCPIP1	Zinc finger CCCH domain-containing protein 12A		
MEAF6, C1orf149, EAF6	MYST/ESA1-associated factor 6		
SNIP1, PMRED	SMAD nuclear interacting protein 1		Psychomotor retardation, epilepsy, and craniofacial dysmorphism, 614501 (3), Autosomal recessive
DNALI1, P28	Dynein, axonemal, light intermediate polypeptide 1		
GNL2, NGP1	Guanine nucleotide-binding protein-like 2		
RSPO1, FLJ40906	R-spondin 1		Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3), Autosomal recessive; Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3), Autosomal recessive
C1orf109	Chromosome 1 open reading frame 109		
CDCA8	Cell division cycle-associated protein 8	possible pseudogene on chr.7	
EPHA10	Ephrin receptor EphA10		
YRDC, IRIP	YRDC domain-containing protein		
MTF1	Metal-regulatory transcription factor 1		
INPP5B	Inositol polyphosphate-5-phosphatase, 75kD		
SF3A3, SF3A60, SAP61, PRP9	Splicing factor 3A, subunit 3		
FHL3, SLIM2	Four-and-a-half LIM domains-3		
UTP11L, CGI94	UTP11-like protein		
POU3F1	POU domain, class 3, transcription factor-1		
RRAGC, RAGC	RAS-related GTP-binding protein C		
MYCBP	MYC-binding protein		
GJA9, CX59	Gap junction protein, alpha-9		
AKIRIN1	Akirin 1		
NDUFS5	NADH-ubiquinone oxidoreductase subunit S5		
MACF1, ACF7, KIAA1251, LIS9	Microtubule-actin cross-linking factor 1		Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant
PABPC4, PABP4, IPABP, APP1	Polyadenylate-binding protein, cytoplasmic, 4		
HEYL	Hariy/enhancer of split-related with YRPW motif-like protein		
NT5C1A, CN1A, CNI, CN1	5'-nucleotidase, cytosolic, IA		
PPIE, CYP33	Peptidyl-prolyl isomerase E		
BMP8B, OP2	Bone morphogenetic protein-8b (osteogenic protein 2)		
OXCT2, FLJ0030	3-oxoacid CoA transferase 2		
TRIT1, IPT, COXPD35	tRNA isopentenyltransferase 1		Combined oxidative phosphorylation deficiency 35, 617873 (3), Autosomal recessive
MYCL, LMYC	Oncogene MYC, lung carcinoma-derived		
MFSD2A, MCPH15	Major facilitator superfamily domain-containing protein 2A		Microcephaly 15, primary, autosomal recessive, 616486 (3), Autosomal recessive
CAP1	Cyclase-associated actin cytoskeleton regulatory protein 1		
PPT1, CLN1	Palmitoyl-protein thioesterase 1		Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessive
RLF	Rearranged L-myc fusion sequence	<800kb from MYCL1	
ZMPSTE24, FACE1, STE24, MADB	Zinc metalloproteinase STE24		Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive; Restrictive dermopathy, lethal, 275210 (3), Autosomal recessive
COL9A2, EDM2, STL5	Collagen IX, alpha-2 polypeptide	mutation identified in1 STL5 family	Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant; ?Stickler syndrome, type V, 614284 (3), Autosomal recessive
SMAP2, SMAP1L	Small ADP-ribosylation factor GTPase-activating protein 2		
ZFP69, ZNF642	Zinc finger protein 69		
EXO5, C1orf176	Exonuclease 5		
RIMS3, NIM3, KIAA0137	Protein regulating synaptic membrane exocytosis 3		
NFYC, CBFC	Nuclear transcription factor Y, gamma		
MIR30C1	Micro RNA 30C-1		
KCNQ4, DFNA2A	Potassium voltage-gated channel, KQT-like subfamily, member 4		Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominant
CITED4	CBP/P300-interacting transactivator, with glu/asp-rich carboxy terminal domain, 4		
CTPS1, CTPS, IMD24	Cytidine 5'-triphosphate synthetase 1		Immunodeficiency 24, 615897 (3), Autosomal recessive
SCMH1	Scm polycomb group protein homolog 1		
FOXO6	Forkhead box O6		
EDN2	Endothelin-2	vasoactive intestinal contractor (VIC) = mouse and rat equivalent	
HIVEP3, KRC	Human immunodeficiency virus type 1 enhancer-binding protein 3		
GUCA2B, UGN	Guanylate cyclase activator 2B (uroguanylin)		
GUCA2A, GUCA2	Guanylate cyclase activator 2A (guanylin 2, intestinal, heat-stable)		
FOXJ3, KIAA1041	Forkhead box J3		
PPCS, CMD2C	Phosphopantothenoylcysteine synthetase		Cardiomyopathy, dilated, 2C, 618189 (3), Autosomal recessive
PPIH	Peptidyl-prolyl isomerase H		
YBX1, NSEP1, YB1, DBPB	Y box binding protein 1 (major histocompatibility complex, class II, Y box-binding protein I)		
CLDN19, HOMG5	Claudin 19		Hypomagnesemia 5, renal, with ocular involvement, 248190 (3), Autosomal recessive
P3H1, LEPRE1, GROS1, OI8	Prolyl 3-hydroxylase 1		Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive
SVBP, CCDC23, NEDAHM	Small vasohibin-binding protein		Neurodevelopmental disorder with ataxia, hypotonia, and microcephaly, 618569 (3), Autosomal recessive
ERMAP, SC, RD	Erythroblast membrane-associated protein		[Blood group, Radin], 111620 (3); [Blood group, Scianna system], 111750 (3)
SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	Solute carrier family 2 (facilitated glucose transporter), member 1	probably in 1p33	Dystonia 9, 601042 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal recessive, Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant
EBNA1BP2, EBP2	EBNA1-binding protein 2		
WDR65	WD repeat-containing protein 65		
TIE, JTK14, TIE1	Tyrosine kinase with immunoglobulin and epidermal growth factor homology domains		
MPL, TPOR, MPLV, THCYT2	MPL proto-oncogene (thrombopoietin receptor)		Myelofibrosis with myeloid metaplasia, somatic, 254450 (3); Thrombocythemia 2, 601977 (3), Autosomal dominant, Somatic mutation; Thrombocytopenia, congenital amegakaryocytic, 604498 (3), Autosomal recessive
CDC20	Cell division cycle 20	pseudogene on 9q13-q21	
ELOVL1, SSC1, IKSHD	Elongation of very long chain fatty acids-like 1		Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, 618527 (3), Autosomal dominant
MED8	Mediator complex subunit 8		
SZT2, KIAA0467, EIEE18	SZT2 subunit of KICSTOR complex		Epileptic encephalopathy, early infantile, 18, 615476 (3), Autosomal recessive
PTPRF, LAR, BNAH2	Protein tyrosine phosphatase, receptor type, f polypeptide	mutation identified in 1 BNAH2 family	?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3), Autosomal recessive
KDM4A, JMJD2A, JHDM3A, KIAA0677	Lysine-specific demethylase 4A		
PTOS1	Ptosis, congenital 1, autosomal dominant		Ptosis, hereditary congenital, 1, 178300 (2), Autosomal dominant
ST3GAL3, SIAT6, ST3GALII, MRT12, EIEE15	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	mutation identified in 1 EIEE15 family	?Epileptic encephalopathy, early infantile, 15, 615006 (3), Autosomal recessive; Mental retardation, autosomal recessive 12, 611090 (3), Autosomal recessive
ARTN	Artemin		
IPO13, IMP13, KIAA0724, RANBP13	Importin 13		
DPH2, DPH2L2	Diphthamide biosynthesis protein 2		
ATP6V0B, ATP6F	ATPase, H+ transporting, V0 subunit b		
B4GALT2	Beta-1,4-galactosyltransferase 2		
SLC6A9, GLYT1, GCENSG	Solute carrier family 6 (neurotransmitter transporter, glycine), member 9		Glycine encephalopathy with normal serum glycine, 617301 (3), Autosomal recessive
ZNF393	Zinc finger protein-393		
DNMAP1, DMAP1	DNMT1-associated protein 1		
PRNPIP, PINT1	Prion protein-interacting protein		
RNF220	RING finger protein 220		
KIF2C, KNSL6, MCAK	Kinesin family, member 2C		
RPS8	Ribosomal protein S8		
BEST4, VMD2L2	Bestrophin 4		
PLK3, CNK, PRK	Polo-like kinase 3	previously assigned to 8p21 by FISH	
TCTEX1D4	TCTEX1 domain-containing 4		
PTCH2	Patched 2		Basal cell carcinoma, somatic, 605462 (3); Basal cell nevus syndrome, 109400 (3), Autosomal dominant; Medulloblastoma, somatic, 155255 (3)
EIF2B3	Eukaryotic translation initiation factor 2B, subunit 3		Leukoencephalopathy with vanishing white matter, 603896 (3), Autosomal recessive
UROD	Uroporphyrinogen decarboxylase		Porphyria cutanea tarda, 176100 (3), Autosomal recessive, Autosomal dominant; Porphyria, hepatoerythropoietic, 176100 (3), Autosomal recessive, Autosomal dominant
MUTYH, MYH	mutY DNA glycosylase		Adenomas, multiple colorectal, 608456 (3), Autosomal recessive; Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, 132600 (3), Somatic mutation; Gastric cancer, somatic, 613659 (3)
TOE1, PCH7	Target of EGR1		Pontocerebellar hypoplasia, type 7, 614969 (3), Autosomal recessive
TESK2	Testis-specific protein kinase 2		
MMACHC	MMACHC gene		Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3), Autosomal recessive
PRDX1, PRXI, PAGA, NKEFA	Peroxiredoxin 1	pseudogene PAGB on 9p22	Methylmalonic aciduria and homocystinuria, cblC type, digenic, 277400 (3), Autosomal recessive
AKR1A1, ALR	Aldo-keto reductase family 1, member A1 (aldehyde reductase)		
NASP	Nuclear autoantigenic sperm protein		
IPP	Intracisternal A particle-promoted polypeptide		
MAST2, MAST205, KIAA0807	Microtubule-associated serine/threonine kinase 2		
PIK3R3	Phosphatidylinositol 3-kinase, regulatory, 3		
TSPAN1, NET1	Tetraspanin 1		
POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76, LGMDR15	Protein 0-mannose beta-1,2-N-acetylglucosaminyltransferase		Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, 613151 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, 613157 (3), Autosomal recessive; Retinitis pigmentosa 76, 617123 (3), Autosomal recessive
LURAP1, LRAP35A	Leucine-rich adaptor protein 1		
RAD54L, HR54, HRAD54	RAD54 like		Adenocarcinoma, colonic, somatic (3); {Breast cancer, invasive ductal}, 114480 (3), Autosomal dominant, Somatic mutation; Lymphoma, non-Hodgkin, somatic, 605027 (3)
BMND14	Bone mineral density quantitative trait locus 14	associated with rs17131547	[Bone mineral density QTL 14], 612728 (2)
FWS	Forsythe-Wakeling syndrome	between rs2354462 and rs718883	Forsythe-Wakeling syndrome, 613606 (2), Autosomal recessive
OFC13	Orofacial cleft 13	associated with rs3827730	Orofacial cleft 13, 613857 (2), Autosomal dominant
PAINQTL1	Pain sensitivity quantitative trait locus 1	deletion identified in 1 PAINQTL1 family	?Pain sensitivity QTL1, 618377 (4), Autosomal dominant
SKINTL, SKINTP	SKINT1-like pseudogene		
UQCRH	Ubiquinol-cytochrome c reductase hinge protein	pseudogene on 1p36	
NSUN4	NOP2/SUN RNA methyltransferase family, member 4		
FAAH	Fatty acid amide hydrolase		{Drug addiction, susceptibility to}, 606581 (3)
FAAHP1, FAAHOUT, LINC00505	Fatty acid amide hydrolase pseudogene 1		
DMBX1, OTX3	Diencephalon/mesencephalon homeobox 1		
KNCN, KINO, L5	Kinocilin		
MKNK1, MNK1	Mitogen-activated protein kinase-interacting serine/threonine kinase 1		
CYP4B1	Cytochrome P450, subfamily IVB, polypeptide 1		
CYP4A11	Cytochrome P450, subfamily IVA, polypeptide 11		
CYP4X1, CYPIVX1	Cytochrome P450, family 4, subfamily X, polypeptide 1		
CYP4A22	Cytochrome P450, family 4, subfamily A, polypeptide 22		
PDZK1IP1, MAP17	PDZK1-interacting protein 1	near SLC in human, mouse, chicken, zebrafish	
TAL1, TCL5, SCL	T-cell acute lymphocytic leukemia-1	proximal to MYCL1	Leukemia, T-cell acute lymphocytic, somatic, 613065 (3)
