Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
LLH		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive
EDSKCL1		Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive
MFN2		Mitofusin 2	Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
KIAA0214		Mitofusin 2	Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
CMT2A2A		Mitofusin 2	Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
HMSN6A		Mitofusin 2	Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
CMT2A2B		Mitofusin 2	Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 (3), Autosomal dominant; Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3), Autosomal recessive; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant
MIIP		Migration and invasion inhibitory protein	
IIP45		Migration and invasion inhibitory protein	
TNFRSF8		Tumor necrosis factor receptor superfamily, member 8 (CD30 antigen; Ki-1 antigen)	
CD30		Tumor necrosis factor receptor superfamily, member 8 (CD30 antigen; Ki-1 antigen)	
D1S166E		Tumor necrosis factor receptor superfamily, member 8 (CD30 antigen; Ki-1 antigen)	
TNFRSF1B		Tumor necrosis factor receptor superfamily, member 1B	
TNFR2		Tumor necrosis factor receptor superfamily, member 1B	
TNFBR		Tumor necrosis factor receptor superfamily, member 1B	
VPS13D		Vacuolar protein sorting 13 homolog D	Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive
SCAR4		Vacuolar protein sorting 13 homolog D	Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive
GBD2	between D1S1597 and D1S47	Gallbladder disease 2	Gallbladder disease 2, 609918 (2)
DHRS3		Short-chain dehydrogenase/reductase family, member 3	
RETSDR1		Short-chain dehydrogenase/reductase family, member 3	
LRRC38		Leucine-rich repeat-containing protein 38	
PDPN		Podoplanin	
TI1A		Podoplanin	
T1A2		Podoplanin	
GP36		Podoplanin	
OTS8		Podoplanin	
AGGRUS		Podoplanin	
PRDM2		PR domain-containing protein 2 (retinoblastoma protein-binding zinc-finger protein RIZ)	
RIZ		PR domain-containing protein 2 (retinoblastoma protein-binding zinc-finger protein RIZ)	
KAZN		Kazrin, periplakin-interacting protein	
EFHD2		EF-hand domain family, member D2	
SWS1		EF-hand domain family, member D2	
CTRC		Chymotrypsin	{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant
CLCR		Chymotrypsin	{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant
CELA2A		Chymotrypsin-like elastase family, member 2A	
ELA2A		Chymotrypsin-like elastase family, member 2A	
CELA2B		Chymotrypsin-like elastase family, member 2B	
ELA2B		Chymotrypsin-like elastase family, member 2B	
CASP9		Caspase 9, apoptosis-related cysteine protease	
APAF3		Caspase 9, apoptosis-related cysteine protease	
AGMAT		Agmatinase	
AUH		Agmatinase	
RSC1A1		Regulatory solute carrier protein, family 1, member 1	
RS1		Regulatory solute carrier protein, family 1, member 1	
PLEKHM2		Pleckstrin homology domain-containing protein, family M, member 2	
SKIP		Pleckstrin homology domain-containing protein, family M, member 2	
KIAA0842		Pleckstrin homology domain-containing protein, family M, member 2	
SLC25A34		Solute carrier family 25, member 34	
FBLP1		Filamin-binding LIM protein 1	
MIGFILIN		Filamin-binding LIM protein 1	
SPEN		Spen family transcriptional repressor	
MINT		Spen family transcriptional repressor	
SHARP		Spen family transcriptional repressor	
HIAA0929		Spen family transcriptional repressor	
ANIB3		Aneurysm, intracranial berry, 3	Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant
EA8	between rs2743201 and rs215791	Episodic ataxia, type 8	Episodic ataxia, type 8, 616055 (2), Autosomal dominant
MEMO1		Methylation modifier for class I HLA	
ZBTB17		Zinc finger- and BTB domain-containing protein 17	
ZNF151		Zinc finger- and BTB domain-containing protein 17	
MIZ1		Zinc finger- and BTB domain-containing protein 17	
HSPB7		Heat-shock 27kD protein 7	
CVHSP		Heat-shock 27kD protein 7	
CLCNKA	11kb from CLCNKB; simultaneous mutation in CLCNKA and CLCNKB	Chloride channel, kidney, A	Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
CLCNKB	unequal crossingover with CLCNKA	Chloride channel, kidney, B	Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
EPHA2		Ephrin receptor EphA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
ECK		Ephrin receptor EphA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
CTPP1		Ephrin receptor EphA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
CTPA		Ephrin receptor EphA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
ARCC2		Ephrin receptor EphA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
CTRCT6		Ephrin receptor EphA2	Cataract 6, multiple types, 116600 (3), Autosomal dominant
ARHGEF19		RHO guanine nucleotide exchange factor 19	
WGEF		RHO guanine nucleotide exchange factor 19	
FBXO42		F-box only protein 42	
FBX42		F-box only protein 42	
KIAA1332		F-box only protein 42	
NECAP2		NECAP endocytosis-associated protein 2	
TRNAG1		tRNA glycine-1	
TRG1		tRNA glycine-1	
NBPF1	pseudogenes on 3 and 5	Neuroblastoma breakpoint family, member 1	
KIAA1693	pseudogenes on 3 and 5	Neuroblastoma breakpoint family, member 1	
RNU1A	?same as A12M2	RNA, U1A small nuclear	
RNU1	?same as A12M2	RNA, U1A small nuclear	
TRNAE1		tRNA glutamic acid	
TRNE		tRNA glutamic acid	
TRE		tRNA glutamic acid	
CROCC		Ciliary rootlet coiled-coil protein	
ROOTLETIN		Ciliary rootlet coiled-coil protein	
KIAA0445		Ciliary rootlet coiled-coil protein	
MFAP2		Microfibrillar-associated protein-2	
MAGP		Microfibrillar-associated protein-2	
MAGP1		Microfibrillar-associated protein-2	
ATP13A2	mutation identified in 1 family with CLN12	ATPase, type 13A2	Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive
PARK9	mutation identified in 1 family with CLN12	ATPase, type 13A2	Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive
KRPPD	mutation identified in 1 family with CLN12	ATPase, type 13A2	Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive
SPG78	mutation identified in 1 family with CLN12	ATPase, type 13A2	Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive; Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive
SDHB	1 of 2 polypeptides	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 4, 115310 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
SDH2	1 of 2 polypeptides	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 4, 115310 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
SDHIP	1 of 2 polypeptides	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 4, 115310 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
PGL4	1 of 2 polypeptides	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 4, 115310 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant
PADI2		Peptidylarginine deiminase, type II	
PADI1		Peptidylarginine deiminase, type I	
PADI3		Peptidylarginine deiminase, type III	Uncombable hair syndrome, 191480 (3), Autosomal recessive
UHS1		Peptidylarginine deiminase, type III	Uncombable hair syndrome, 191480 (3), Autosomal recessive
PADI4		Peptidylarginine deiminase, type IV	{Rheumatoid arthritis, susceptibility to}, 180300 (3)
PADI5		Peptidylarginine deiminase, type IV	{Rheumatoid arthritis, susceptibility to}, 180300 (3)
PAD		Peptidylarginine deiminase, type IV	{Rheumatoid arthritis, susceptibility to}, 180300 (3)
PADI6		Peptidylarginine deiminase, type VI	Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessive
PREMBL2		Peptidylarginine deiminase, type VI	Preimplantation embryonic lethality 2, 617234 (3), Autosomal recessive
ARHGEF10L		RHO guanine nucleotide exchange factor 10-like protein	
GRINCHGEF		RHO guanine nucleotide exchange factor 10-like protein	
KIAA1626		RHO guanine nucleotide exchange factor 10-like protein	
PAX7	fused with FKHR in rhabdomyosarcoma	Paired box homeotic gene-7	Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation
RMS2	fused with FKHR in rhabdomyosarcoma	Paired box homeotic gene-7	Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation
MYOSCO	fused with FKHR in rhabdomyosarcoma	Paired box homeotic gene-7	Myopathy, congenital, progressive, with scoliosis, 618578 (3), Autosomal recessive; Rhabdomyosarcoma 2, alveolar, 268220 (3), Somatic mutation
TAS1R2		Taste receptor type 1, member 2	
T1R2		Taste receptor type 1, member 2	
ALDH4A1		Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)	Hyperprolinemia, type II, 239510 (3), Autosomal recessive
ALDH4		Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)	Hyperprolinemia, type II, 239510 (3), Autosomal recessive
P5CDH		Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)	Hyperprolinemia, type II, 239510 (3), Autosomal recessive
UBR4		Ubiquitin protein ligase E3 component n-recognin 4	
ZUBR1		Ubiquitin protein ligase E3 component n-recognin 4	
RBAF600		Ubiquitin protein ligase E3 component n-recognin 4	
KIAA1307		Ubiquitin protein ligase E3 component n-recognin 4	
EMC1		Endoplasmic reticulum membrane protein complex, subunit 1	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive
KIAA0090		Endoplasmic reticulum membrane protein complex, subunit 1	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive
CAVIPMR		Endoplasmic reticulum membrane protein complex, subunit 1	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive
AKR7A4		Aldo-keto reductase family 7, member A4	
AFAR3		Aldo-keto reductase family 7, member A4	
AKR7A3		Aldo-keto reductase family 7, member A3	
AFAR2		Aldo-keto reductase family 7, member A3	
AKR7A2	pseudogenes on Xq25 and 1p12	Aldo-keto reductase family 7, member A2	
AKR7	pseudogenes on Xq25 and 1p12	Aldo-keto reductase family 7, member A2	
AFAR	pseudogenes on Xq25 and 1p12	Aldo-keto reductase family 7, member A2	
PQLC2		PQ loop repeat-containing protein 2	
CAPZB		Capping protein (actin filament) muscle Z-line, beta	
CAPPB		Capping protein (actin filament) muscle Z-line, beta	
MICOS10		Mitochondrial contact site and cristae organizing system, 10kD subunit	
MINOS1		Mitochondrial contact site and cristae organizing system, 10kD subunit	
MIO10		Mitochondrial contact site and cristae organizing system, 10kD subunit	
MIC10		Mitochondrial contact site and cristae organizing system, 10kD subunit	
D1S1733E	aberrant in some neuroblastomas	Differential-screening-selected gene aberrant in neuroblastoma	
DAN	aberrant in some neuroblastomas	Differential-screening-selected gene aberrant in neuroblastoma	
HTR6		5-hydroxytryptamine (serotonin) receptor-6	
RNF186		Ring finger protein 186	
OTUD3		OTU domain-containing protein 3	
KIAA0459		OTU domain-containing protein 3	
PLA2G2E		Secretory phospholipase A2, group IIE	
PLA2G2A	germline mutation identified in 1 CRC patient	Phospholipase A2, group IIA, platelets, synovial fluid	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation
PLA2B	germline mutation identified in 1 CRC patient	Phospholipase A2, group IIA, platelets, synovial fluid	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation
PLA2L	germline mutation identified in 1 CRC patient	Phospholipase A2, group IIA, platelets, synovial fluid	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation
MOM1	germline mutation identified in 1 CRC patient	Phospholipase A2, group IIA, platelets, synovial fluid	{?Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant, Somatic mutation
PLA2G5		Phospholipase A2, group V	[Fleck retina, familial benign], 228980 (3), Autosomal recessive
FRFB		Phospholipase A2, group V	[Fleck retina, familial benign], 228980 (3), Autosomal recessive
B6QTL1	associated with rs4654748	Vitamin B6 plasma level QTL 1	{Vitamin B6 plasma level QTL 1}, 612957 (2)
BFIS4	between D1S2864 and D1S2830	Seizures, benign familial infantile, 4	Seizures, benign familial infantile, 4, 612627 (2)
BFIC4	between D1S2864 and D1S2830	Seizures, benign familial infantile, 4	Seizures, benign familial infantile, 4, 612627 (2)
PLA2G2D		Phospholipase A2, group IID	
SPLASH		Phospholipase A2, group IID	
PLA2G2F		Phospholipase A2, group IIf	
UBXN10		UBX domain protein 10	
CAMK2N1		Calcium/calmodulin-dependent protein kinase II inhibitor 1	
MUL1		Mitochondrial ubiquitin ligase activator of NFKB1	
MULAN		Mitochondrial ubiquitin ligase activator of NFKB1	
C1orf166		Mitochondrial ubiquitin ligase activator of NFKB1	
CDA		Cytidine deaminase	
PINK1		PTEN-induced putative kinase 1	Parkinson disease 6, early onset, 605909 (3), Autosomal recessive
PARK6		PTEN-induced putative kinase 1	Parkinson disease 6, early onset, 605909 (3), Autosomal recessive
DDOST	mutation (cmpd het) identified in 1 CDG1R patient	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
OST	mutation (cmpd het) identified in 1 CDG1R patient	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
OST48	mutation (cmpd het) identified in 1 CDG1R patient	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
CDG1R	mutation (cmpd het) identified in 1 CDG1R patient	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
KIF17		Kinesin family member 17	
KIAA1405		Kinesin family member 17	
HP1BP3		Heterochromatin protein 1-binding protein 3	
HP1BP74		Heterochromatin protein 1-binding protein 3	
EIF4G3		Eukaryotic translation initiation factor 4-gamma, 3	
EIF4GII		Eukaryotic translation initiation factor 4-gamma, 3	
ECE1	mutation identified in 1 HCAD patient	Endothelin converting enzyme 1	?Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3), Autosomal dominant; {Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial
NBPF3		Neuroblastoma breakpoint family, member 3	
ALPL		Alkaline phosphatase, liver/bone/kidney	Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant
HOPS		Alkaline phosphatase, liver/bone/kidney	Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant
TNSALP		Alkaline phosphatase, liver/bone/kidney	Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant
RAP1GA1		RAP1, GTPase activating protein 1	
USP48		Ubiquitin-specific peptidase 48	
USP31		Ubiquitin-specific peptidase 48	
HSPG2		Heparan sulfate proteoglycan of basement membrane (perlecan)	Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive
